商品名,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
撥水ポンチョ,ストール,内税,3520,0.3,3520,0.3,1,0.2,0,0.0,10017,,
香川で編んだ麻のアームカバー AMU ARM COVER-standard,アパレルウェア,内税,3520,0.3,3520,0.3,1,0.2,0,0.0,10279,,#4580335458784
TM52S-209 For sneaker mix yarn Hemp socks,シーズン靴下,内税,3300,0.3,3300,0.3,2,0.5,0,0.0,10192,,
TM52S-212 Mix yarn Hemp socks,シーズン靴下,内税,1980,0.2,1980,0.2,1,0.2,0,0.0,10195,,
TM42W-199 Slub Hemp Socks,シーズン靴下,内税,1980,0.2,1980,0.2,1,0.2,0,0.0,10214,,
TM42W-200 Mix Hemp Socks,シーズン靴下,内税,1980,0.2,1980,0.2,1,0.2,0,0.0,10215,,
ニーソックス,シーズン靴下,内税,1980,0.2,1980,0.2,1,0.2,0,0.0,10224,,
TM52S-206 Mixed yarn switching Hemp socks,シーズン靴下,内税,1870,0.2,1870,0.2,1,0.2,0,0.0,10189,,
TM62S-225 重ね履き風で短い丈の麻の靴下,シーズン靴下,内税,1650,0.2,1650,0.2,1,0.2,0,0.0,10137,,
Rainbow Organic Cotton Hemp socks,シーズン靴下,内税,1540,0.1,1540,0.1,1,0.2,0,0.0,10342,,
レジ袋,紙袋,内税,500,0.0,500,0.0,25,5.7,0,0.0,10034,,
